uniquedocs_df.Title,uniquedocs_df.Abstract,uniquedocs_df.Authors,uniquedocs_df.placeOfPublication,uniquedocs_df.pubdate,uniquedocs_df.pubtitle,uniquedocs_df.year
New Downtown Hotel to Seek Family TradeI,"Executive House, the new 40 story hotel nearing completion at 71 E. Wacker dr., will be a ""family house,"" too, if the veteran hotelmen who will operate and manage it have their way."," Fuller, Ernest
Ernest
Ernest Fuller
Fuller
ERNEST FULLER"," Chicago, Ill.",26-Jul-58,Chicago Daily Tribune (1923-1963),1958
Nurse Wounded; Jealous Suitor Seized in Flight,"Miss Esther Bierkle, 31, a nurse at Passavant hospital, was critically wounded Wednesday in her kitchenette apartment on the fifth floor at 500 Diversey pkwy by a man described by police as a jealous suitor.",," Chicago, Ill.",26-Nov-58,Chicago Daily Tribune (1923-1963),1958
'Horrified' Senate Wives Turn Down Extravagantly Equipped Workroom,"Senate wives have rejected as ""ostentatious"" a set of architect's plans for a new workroom, with adjoining exercise room, swimming pool, matron's room and kitchenette in the old Senate Office Building."," By Marie Smith Staff Reporter
By Marie Smith Staff Reporter"," Washington, D.C.",20-Feb-59,The Washington Post and Times Herald (1954-1959),1959
Sh-h-h! The Secret Is in the Onion,THERE'S MORE than legislation brewing under the Capitol dome when Sen. Allen J. Ellender of Louisiana starts cooking up some of his famous Creole coneoctions.," By Elinor Lee
By Elinor Lee"," Washington, D.C.",25-Mar-59,The Washington Post and Times Herald (1954-1959),1959
Roast Fowl And Trimmings Feast Can Be Prepared In Tiny Kitchen,"Busy working people and folks with little kitchen space will appreciate the corners cut by this plan for ""Dinner from a Kitchenette.""",," Chicago, Ill.",19-Dec-59,The Chicago Defender (National edition) (1921-1967),1959
Racket Buster's Wife,"PEOPLE who turn out these days to listen to Thomas E. Dewey campaigning for the Republican presidential nomination will oftentimes see on the platform a darkeyed young woman, of slight build and unusually pretty."," Fulton, William
William
William Fulton
Fulton
WILLIAM FULTON"," Chicago, Ill.",28-Apr-40,Chicago Daily Tribune (1923-1963),1940
Installing Small Kitchens,,," New York, N.Y.",16-Jun-40,New York Times (1923-Current file),1940
Sunset Apartments Front on Ocean,,," Los Angeles, Calif.",21-Jun-40,Los Angeles Times (1923-Current File),1940
Everything Normal With These Folks Except They Have No Home,"Life goes on as usual with the Browns, the Thompsons, and the Reeds. Well, that is almost. Except that there's no running water, and they have no protection from the elemerits, and they have no walls to protect them from the curious eyes..."," Waters, Enoc P, Jr
Enoc
Enoc P Waters Jr
Jr
Waters
P
ENOC P WATERS JR"," Chicago, Ill.",31-Aug-40,The Chicago Defender (National edition) (1921-1967),1940
COOKERY WITH A TANG...,"STOCKILY-BUILT, candid-faced topranking reliable of stage and screen, Alan Dinchart has a number of extra accomplishments, including cooking which he does in thoroughly masculine fashion and with fame-making results. Also successful as the writer of several plays, he is..."," Turner, Grace
Grace
Grace Turner
Turner
Grace Turner"," Los Angeles, Calif.",6-Oct-40,Los Angeles Times (1923-Current File),1940
SUICIDE'S GAS BLAST INJURES TW0 MEN,"A tenant in the apartment house at 865 First Avenue, in what the police recorded as an apparent sui-- cide, flooded his kitchen with gas last night and caused an explosion that shook the seventeen-story building and caused injury to two employer.",," New York, N.Y.",26-Dec-40,New York Times (1923-Current file),1940
Wallace Frowns on Power Politics in Americas,"Europe's old balance of power theory in international relations, which has led it up so many dark and bloody alleys, must never be permitted to gain a foothold in the Western Hemisphere; such an imitation of Old World politics by the new would be fatal to the peace and security of this hemisphere, in the opinion of Vice President Henry Agard Wallace."," By Inez Robb. International News Service Staff Writer
By Inez Robb. International News Service Staff Writer"," Washington, D.C.",23-Feb-41,The Washington Post (1923-1954),1941
Anniversary,,," Chicago, Ill.",8-Mar-41,The Chicago Defender (National edition) (1921-1967),1941
EVERYBODY GOES WHEN the WAGON COMES,"THE EXTREME cold weather in Chicago has driven the cats and chicks to cover and the playing is being done in those flats and kitchenettes, but when it warms up you can bet your life that NOSEY will have the gossip ... And remember, dear readers, not to get sore when your name bobs up in this column, because EVERYBODY GOES WHEN THE WAGON COMES ..."," NOSEY, OLE
OLE
OLE NOSEY
NOSEY
OLE NOSEY"," Chicago, Ill.",22-Mar-41,The Chicago Defender (National edition) (1921-1967),1941
COLUMBIA PROFESSOR FOUND DEAD FROM GAS,,," New York, N.Y.",14-Apr-41,New York Times (1923-Current file),1941
"SWINDLER A SUICIDE, IN FEAR OF PRISON","Fear of further prosecution prompted Gerald W. Tiffany, notorious bucket-shop swindler free on probation, to end his life yesterday by inhaling illuminating gas in the apartment of a friend on the ninth floor of 17 West Sixty-fourth Street.",," New York, N.Y.",26-Sep-41,New York Times (1923-Current file),1941
HOUSEWIVES CAN LEARN MUCH FROM AIRLINES' KITCHENS,She runs eight kitchens--and must travel 5303 miles to reach all of them!," Finley, Maxine
Maxine
Maxine Finley
Finley
MAXINE FINLEY"," Los Angeles, Calif.",31-Oct-41,Los Angeles Times (1923-Current File),1941
Insurance Company Sells Uptown Apartment Hotel,,," Chicago, Ill.",9-Nov-41,Chicago Daily Tribune (1923-1963),1941
Children of Tomorrow,LITTLE ITEMS behind the news seldom creep into the stories in the papers.,," Chicago, Ill.",24-Jan-42,The Chicago Defender (National edition) (1921-1967),1942
LET'S TALK IT OVER! With Alma Whitaker,"KINDNESS continues to flow in for Jewel W., age 19, expectant mamma, deserted by husband. These included even a possible job for her worried father, seeds for that victory garden, baby things, and an anonymous $2 (San Fernando...",," Los Angeles, Calif.",22-May-42,Los Angeles Times (1923-Current File),1942
An Outdoor Rumpus Room,IN THE section of San Marino where Orison Ruddy's residence is located a unique condition exists in that out of 10 immediate neighbors there are eight that have badminton courts and five that have built barbecues.," WOODWARD RADCLIFFE
WOODWARD RADCLIFFE"," Los Angeles, Calif.",8-Nov-42,Los Angeles Times (1923-Current File),1942
"ICKES MAY ENJOY LUXURY BATH IN OFFICE HERE, TOO","Just about any time now, Secretary of the Interior Harold L. Ickes can move into his new and homelike office on the 11th floor of the Merchandise Mart. It was constructed as part of a suite for his convenience at such times as he drops in from Washington to visit his help in the Indian...",," Chicago, Ill.",23-Nov-42,Chicago Daily Tribune (1923-1963),1942
U.S. Dormitory Opens in June,,," Washington, D.C.",11-Feb-43,The Washington Post (1923-1954),1943
MANY REMODEL HOMES TO BRING NEW REVENUES,Many people today are finding some revenue producing space in their homes. Some are even discovering that a rentable apartment is lurking in their house and remodeling with a view to building a second home within their four walls.," BARGELT, LOUISE
LOUISE
LOUISE BARGELT
BARGELT
LOUISE BARGELT"," Chicago, Ill.",14-Feb-43,Chicago Daily Tribune (1923-1963),1943
Cook Books Seem to Ignore A Palatable Combination,," KITCHENETTE
KITCHENETTE"," New York, N.Y.",25-Apr-43,New York Times (1923-Current file),1943
EVERYBODY GOES WHEN the WAGON COMES,"THE COOL BREEZES are sweeping in from Lake Michigan and its just a matter of days before Chicagoans will have to don the woolens... The usual ""playing"" along the streets automatically ceases when the cold wind blows, thus forcing the cats and chicks to their hideouts in flats and kitchenettes... But it makes no difference whether you're in a flat or on the streets. NOSEY will get the news and you can get your life that when the WAGON comes."," NOSEY, OLE
OLE
OLE NOSEY
NOSEY
OLE NOSEY"," Chicago, Ill.",2-Oct-43,The Chicago Defender (National edition) (1921-1967),1943
SUICIDE LAID TO BOMBINGS,,," New York, N.Y.",13-Dec-43,New York Times (1923-Current file),1943
SAMSON OFFERS HELP IN ALARM CLOCK SHORTAGE,"over the loop, the first rays of morning touch a box attached to the rear window of Fager studio. 59 E. Wacker dr.... and a cock It is Samson, pet cock of Fager, artist and creator of art pieces."," Flavin, Genevieve
Genevieve
Genevieve Flavin
Flavin
GENEVIEVE FLAVIN"," Chicago, Ill.",3-Sep-44,Chicago Daily Tribune (1923-1963),1944
Topics of The Times,"One apartment seeker in every three from out of town wants to settle down in Greenwich Village; this according to Joseph Platzker, Assistant Commissioner of Housing and Buildings and Director of the City Vacancy Listing Bureau.",," New York, N.Y.",7-Dec-44,New York Times (1923-Current file),1944
BRITISH HOMELESS GET NEW SHELTERS,"LONDON, Feb. 12--Within the next few days fourteen bombed out families from the Borough of Lambeth will move from air-raid shelters into fourteen small, portable wartime homes built by American soldier-technicians."," By Wireless to THE NEW YORK TIMES.
By Wireless to THE NEW YORK TIMES."," New York, N.Y.",13-Feb-45,New York Times (1923-Current file),1945
EVERYBODY GOES When THE WAGON Comes,"AS THIS COLUMN is written, Chicagoans are getting their first real touch of SUMMER...Yes, it's hot in the Windy City and you can lay a good bet the cats and chics are very much on the stroll...We sometime wonder where all the people you see on the streets now, have been while the weather was cold...Answer: Hugging the radiators in kitchenettes with a half gallon of beer on the table...DUKE ELLINGTON and his band are holding forth at the Regal...T-BONE WALKER is packing them in at the..."," Nosey, OLE
OLE
OLE Nosey
Nosey
OLE Nosey"," Chicago, Ill.",2-Jun-45,The Chicago Defender (National edition) (1921-1967),1945
"IDEA, INGENUITY IS MODEL HOME AFTER 5 YEARS","When a cabinet maker and his wife, a former handicraft teacher and government housing counselor with not much money but a lot of ingenuity, decide to build in...",," Chicago, Ill.",6-Jan-46,Chicago Daily Tribune (1923-1963),1946
FOR COOKS RESTRICTED TO ONE WALL OUTLET,," The New York Times Studio
The New York Times Studio"," New York, N.Y.",26-Jan-46,New York Times (1923-Current file),1946
THIS FAMILY HAS READY MADE FUN IN PREFAB HOME,"Mr. and Mrs. James R. Ahrens and family are at home at 1128 E. 61st st., or in the first house, third row of the 100 pre-fabricated homes built for University of Chicago students at 61st st. and Greenwood av."," Peck, Janet
Janet
Janet Peck
Peck
JANET PECK"," Chicago, Ill.",12-May-46,Chicago Daily Tribune (1923-1963),1946
"Time Is Money, Said the Sage","HUDDLED around a table in Jno's. Place, as usual, were sundry members of the press, chattering with spirit and wisdom of many things, or so they supposed."," By Dillard Stokes Post Reporter
By Dillard Stokes Post Reporter"," Washington, D.C.",2-Jun-46,The Washington Post (1923-1954),1946
Protests Southside Living Conditions,"I am concerned about the living conditions of the colored people on the South Side. I have formed a club of housewives to help people with families get a decent place to live, which I think there are entirely too many."," Cavalier, J
J
Mrs J Cavalier
Cavalier
Mrs
Mrs. J Cavalier"," Chicago, Ill.",20-Jul-46,The Chicago Defender (National edition) (1921-1967),1946
Feather In Her Hat,"HE HAD never thought it could come to this. Vicky and himself, and between them--like a symbol--the typewriter on its rickety table, a half-finished page projecting from the rollers, spoiled pages scattered like wind-blown leaves on the floor."," LESLIE GORDON BARNARD
LESLIE GORDON BARNARD"," Los Angeles, Calif.",28-Jul-46,Los Angeles Times (1923-Current File),1946
Letters to The Times,," EUSTACE SELIGMAN .MARTIN LUIS DRAGO,J.H.C.DAVID OPPENHEIM.ISIDOR BERGER.
EUSTACE SELIGMAN .MARTIN LUIS DRAGO,J.H.C.DAVID OPPENHEIM.ISIDOR BERGER."," New York, N.Y.",22-Oct-46,New York Times (1923-Current file),1946
Fire Loss 1 -- No Title,,," Chicago, Ill.",18-Jan-47,The Chicago Defender (National edition) (1921-1967),1947
Calls Building Firetrap Father Of Nine Evicted,,," Chicago, Ill.",3-May-47,The Chicago Defender (National edition) (1921-1967),1947
"City Aroused, Probes Ordered After Chicago Tenement Fire Claims 10",While police searched for an arsonist. Mayor Martin H. Kennelly demanded a thorough investigation Friday into a slum tenement fire which took the lives of six children and four women.,," Chicago, Ill.",18-Oct-47,The Chicago Defender (National edition) (1921-1967),1947
Witnesses Hint Race Tension Behind Fire,"Police late Thursday were believed to be heading toward solution of the origin of a mysterious fire that claimed the lives of 10 persons last Friday, when they took into custody for close questioning four suspects."," Goldsberry, R B
R
R B Goldsberry
Goldsberry
B
R B GOLDSBERRY"," Chicago, Ill.",25-Oct-47,The Chicago Defender (National edition) (1921-1967),1947
Landlords Must Add Two Exits,,," Chicago, Ill.",27-Dec-47,The Chicago Defender (National edition) (1921-1967),1947
Extra Table Space,,," Washington, D.C.",24-Mar-48,The Washington Post (1923-1954),1948
Article 1 -- No Title,,," Chicago, Ill.",23-May-48,Chicago Daily Tribune (1923-1963),1948
"Chicago's South Parkway, Parade Ground of World","South Parkway is THE street. The Great White Way of Chicago. A sweeping lane some twenty miles long, flanked on each side by staid old mansions--the street--on the outer reaches it had has become the parade ground of the world. Here the Elders and the Bishops rub elbows with touts and gamblers and its traffic lanes are heavy with the endless chain of..."," Brown, Henry
Henry
Henry Brown
Brown
HENRY BROWN"," Chicago, Ill.",29-May-48,The Chicago Defender (National edition) (1921-1967),1948
CONGRESSMEN FINDING HOMES IN WASHINGTON,Most of the 10 new members of the Illinois congressional delegation have solved their problems of where to live in Washington during the 1949 session of congress.," Howard, Robert
Robert
Robert Howard
Howard
ROBERT HOWARD"," Chicago, Ill.",27-Dec-48,Chicago Daily Tribune (1923-1963),1948
BARNARD STUDENTS TO DO HOUSE WORK,Barnard College girls will take over their own housekeeping chores in the dormitories next fall to avoid paying an increase in room charges of $75.,," New York, N.Y.",24-Feb-49,New York Times (1923-Current file),1949
NEW RESORTS SPRINGINO UP AT PHOENIX,They're subdividing the desert cut around Camelback mountain. It's a scene that would delight the heart of a Chicago real estate man.," Wallace, Samuel
Samuel
Samuel Wallace
Wallace
SAMUEL WALLACE"," Chicago, Ill.",13-Mar-49,Chicago Daily Tribune (1923-1963),1949
LIVING HIGH for Low Rent,"A GARRET need not look like a setting for a horror movie. Nyle Morgan and John McDonough, interior-design students, offer their apartment as evidence."," Noah, John
John
John Noah
Noah
John Noah"," Los Angeles, Calif.",20-Mar-49,Los Angeles Times (1923-Current File),1949
BETHANY HOME AND HOSPITAL TO DEDICATE WING,"The new S750,000 north wing of the Bethany home and hospital, 5001-15 N. Paulina st., will be dedicated by Bishop J. Ralph Magee of the Methodist church at 3:30 p. m. today, on the 60th anniversary of the hospital's founding.",," Chicago, Ill.",24-Apr-49,Chicago Daily Tribune (1923-1963),1949
There's A Fifth Column Blocking Negro Progress,"WHEN General Franco was seeking the capture of the city of Madrid some years ago, his army was divided into four columns, but the secret of his eventual success was revealed in the assistance he obtained from Spanish government traitors, and they have been described as Franco's ""Fifth Column."""," Fields, A N
A
A N Fields
Fields
N
A N Fields"," Chicago, Ill.",18-Jun-49,The Chicago Defender (National edition) (1921-1967),1949
Woods Expedites Own Project By Showing $7000 Bungalow,"Housing Expediter Tighe E. Woods yesterday offered his own solution to the housing problem -- a small 14 by 36-foot ""ramblerette,"" built of redwood siding in 3 1/2 weeks, and priced at approximately $7000, including land.",," Washington, D.C.",21-Jul-49,The Washington Post (1923-1954),1949
HOUSE OF YEARS' HAS NEW TENANTS,"The mythical family that has been occupying Sloane's ""House of Years"" for some seasons past has now terminated its lease and is about to be replaced by another, judging by the redecorating which has been going on there for the last six weeks. The house will be reopened to the public on Monday."," By MARY ROCHE
By MARY ROCHE"," New York, N.Y.",9-Sep-49,New York Times (1923-Current file),1949
JUDGE SPOILS COURT RECORD OF FLAT OWNER,"Altho his attorney pleaded that a fine would spoil his client's record, Municipal Judge Emmett Morrissey still assessed $25 and $10 costs against Isom Smith last week in Building and Housing court on charges of converting a four story building at 3249 Wabash av."," Priddy, Gladys
Gladys
Gladys Priddy
Priddy
GLADYS PRIDDY"," Chicago, Ill.",16-Oct-49,Chicago Daily Tribune (1923-1963),1949
A Turkey In Every Oven,TODAY'S column attempts a reconciliation between the turkey and the small household. The big bird is hardly interesting to the two or three-person family except when it's part and parcel of a holiday -- Thanksgiving and Christmas.," By JANE NICKERSON
By JANE NICKERSON"," New York, N.Y.",23-Oct-49,New York Times (1923-Current file),1949
FIFTY GIRLS STUDY HOME DECORATION,"With T-square and triangle, fifty girls at the Brooklyn High School for Homemaking are learning to plot out intricate plans for furniture arrangements.",," New York, N.Y.",26-Nov-49,New York Times (1923-Current file),1949
Policeman Falls on Wine Bottle; Bleeds to Death,,," Chicago, Ill.",5-Dec-49,Chicago Daily Tribune (1923-1963),1949
Kitchen Comes Into Its Own With Novel Uses by Starlets,Sakes alive! The kitchen--usually regarded as the most unglamorous room in the house-is coming into its own.," Reba
Reba
Reba
REBA , Churchill, Bonnie
Bonnie
Bonnie Churchill
Churchill
BONNIE CHURCHILL"," Los Angeles, Calif.",19-Jan-50,Los Angeles Times (1923-Current File),1950
Tucson Offers Housing at Medium Cost,"Around 1856 Raphael Pumpelly came to Tucson and records in his ""Reminiscences"" that the journey by stage coach from Jefferson City, Mo., took him 12 days and 12 nights; that he fell on the floor of the first room he entered; slept 12 hours without..."," Page, Eleanor
Eleanor
Eleanor Page
Page
Eleanor Page"," Chicago, Ill.",19-Feb-50,Chicago Daily Tribune (1923-1963),1950
HOME BUILDERS EMPHASIZE THE NEW AND NOVEL,Never before at a home show has such an array of residential conveniences and luxuries been presented as during the week at the annual exposition of the National Association of Home Builders.," Chase, Al
Al
Al Chase
Chase
AL CHASE"," Chicago, Ill.",26-Feb-50,Chicago Daily Tribune (1923-1963),1950
Hot Breads Bring Family Running to Dinner Table,"""HOMEMADE miracles of bread,"" a poet has called them."," By Lucia Brown
By Lucia Brown"," Washington, D.C.",14-Apr-50,The Washington Post (1923-1954),1950
Tourists Stop--and Stay--at Arizona Motel,"The motor court was born in the west, and apparently it's done its growing up in Phoenix, for the U. S. highways leading to and thru the city are bordered with most of Phoenix's 300 motels. Many of these offer every modern hotel...",," Chicago, Ill.",30-Apr-50,Chicago Daily Tribune (1923-1963),1950
"Boy, 11, Is Hero As 8 Die In Chicago Tenement Fire","William Hopkins, 11-year-old eighth grade student, sounded the alarm that saved at least a dozen persons early Saturday morning as flames engulfed a Chicago tenement at 124 E. 31 st st., and claimed eight lives."," Barnett, Albert G
Albert
Albert G Barnett
Barnett
G
ALBERT G BARNETT"," Chicago, Ill.",16-Dec-50,The Chicago Defender (National edition) (1921-1967),1950
Starts New Apartment on S. Michigan,,," Chicago, Ill.",13-Jan-51,Chicago Daily Tribune (1923-1963),1951
"Rural Construction in Orange County Tops $1,630,000",," a Times Correspondent
a Times Correspondent"," Los Angeles, Calif.",23-Sep-51,Los Angeles Times (1923-Current File),1951
COLLECTOR'S HOME REAL IVORY TOWER,"A geisha who is sleeping in the waters of the Atlantic was headed for an apartment in Queens. The ivory figurine, mellow and lustrous with its eighty or ninety years, was one of thirty sculptures the Flying Enterprise was bringing from London for Dr. Samuel A. Schneidman, a Bellaire veterinarian who describes himself as ""beauty hungry."""," By LAURIE JOHNSTON
By LAURIE JOHNSTON"," New York, N.Y.",13-Jan-52,New York Times (1923-Current file),1952
BILLS TO PROTEGT TENANTS WIN AID OF WELFARE BODY,,," New York, N.Y.",2-Mar-52,New York Times (1923-Current file),1952
'Efficiency' Apartment Is Just That,"Furnishing a small ""efficiency"" apartment, a type in which Chicago abounds, is a challenge for it is difficult to keep from overcrowding it. Good planning is allimportant so that storage and seating needs can be met with furniture that takes a minimum..."," Douglas, Anne
Anne
Anne Douglas
Douglas
ANNE DOUGLAS"," Chicago, Ill.",2-Mar-52,Chicago Daily Tribune (1923-1963),1952
Breakfast for Two--Career Girls Have a Way with It,"DO YOU make a habit of treating yourself, or members of your household, like company? Do you plan meals or special little events that take on a party air just for those at home? That, according to Carolyn Coggins in her new book, ""Successful..."," Loring, Kathryn
Kathryn
Kathryn Loring
Loring
KATHRYN LORING"," Chicago, Ill.",7-May-52,Chicago Daily Tribune (1923-1963),1952
Find Waitress Hanged in Her One Room Flat,,," Chicago, Ill.",11-May-52,Chicago Daily Tribune (1923-1963),1952
DOWNTOWN DEAL,,," New York, N.Y.",23-Dec-52,New York Times (1923-Current file),1952
BETHANY HOME BEGINS MILLION DOLLAR UNIT,Ground has been broken for a new million dollar Bethany home for the aged at 4916 N. Ashland av.,," Chicago, Ill.",26-Apr-53,Chicago Daily Tribune (1923-1963),1953
WOODLAWN HAS A LONG HISTORY OF CONVERSIONS,Wood Lawn in the 1860s was a country hamlet with a two-word name and a muddy country road for 63d st.," Priddy, Gladys
Gladys
Gladys Priddy
Priddy
GLADYS PRIDDY"," Chicago, Ill.",4-Feb-54,Chicago Daily Tribune (1923-1963),1954
"TOURS, EXHIBITS SET TO OBSERVE HOSPITAL WEEK","Dedication of Highland Park hospital's $225,000 nurses' homes, observance of Grant hospital's 70th year, and combined and individual programs will mark the participation of north shore institutions in National Hospital...",," Chicago, Ill.",9-May-54,Chicago Daily Tribune (1923-1963),1954
ROOMS GET KITCHENS,,," New York, N.Y.",13-Jun-54,New York Times (1923-Current file),1954
Grinnell Chairman,,," Chicago, Ill.",25-Nov-54,Chicago Daily Tribune (1923-1963),1954
Chicagoan Kills Self Kissing Murdered Mate,"A 25-year-old man shot his 19-year-old common law wife to death, Saturday morning, after a nine hour drinking spree, then turned the gun on himself, and died clasping her in a final embrace.",," Chicago, Ill.",27-Nov-54,The Chicago Defender (National edition) (1921-1967),1954
Open New Motor Hotel Near Downtown Phoenix,,," Chicago, Ill.",13-Mar-55,Chicago Daily Tribune (1923-1963),1955
"PLANTED NOW, SQUASH SUIT A LITTLE GARDEN","Year in and year out, this has proved a good time to plant squash. Sometimes it pays to plant a couple of weeks earlier, but in this case the summer varieties run the risk of cool weather that may impede their growth."," Morrison, Gordon
Gordon
Gordon Morrison
Morrison
GORDON MORRISON"," Chicago, Ill.",5-Jun-55,Chicago Daily Tribune (1923-1963),1955
Article 36 -- No Title,,," Los Angeles, Calif.",8-Apr-56,Los Angeles Times (1923-Current File),1956
62-Room Hotel Is Set for El Segundo,,," Los Angeles, Calif.",19-Aug-56,Los Angeles Times (1923-Current File),1956
Simple Speaks His Mind On Woes Of House Cleaning,"""Some women are fiends for house cleaning,"" said Simple. They will break a husband down if he lets them, making him clean, and clean, and clean. Now, you take my wife, Joyce. Before we got married Joyce cleaned her own place. Now she expects me to..."," Hughes, LANGSTON
LANGSTON
LANGSTON Hughes
Hughes
LANGSTON Hughes"," Chicago, Ill.",8-Sep-56,The Chicago Defender (National edition) (1921-1967),1956
RESORT COTTAGES TO RISE ON SOUND,"Summer resort houses, designed so that tenants can conveniently sublet part of their space, will be built on six acres at Cummings Point in Stamford, Conn., on Long Island Sound.",," New York, N.Y.",6-Jan-57,New York Times (1923-Current file),1957
BRANDO,"The history of Marlon Brando proves that if you want to live a peaceful life it isn't wise to become a Hollywood star. At various times he has proclaimed his contempt for money, fame, luxury, glamour girls, gossip columnists, and the gaudy atmosphere of notoriety and publicity that envelops all celebrities nowadays."," By Maurice Zolotow
By Maurice Zolotow"," Washington, D.C.",6-Jan-57,The Washington Post and Times Herald (1954-1959),1957
"Goodbye, Yesterday, Says Simple, Let's See What Tomorrow Brings","""When you smell smoke there must be fire,"" said Simple. ""And when you see sawdust, the mill can't be far away."""," Hughes, LANGSTON
LANGSTON
LANGSTON Hughes
Hughes
LANGSTON Hughes"," Chicago, Ill.",26-Jan-57,The Chicago Defender (National edition) (1921-1967),1957
Fire Loss 1 -- No Title,,," Chicago, Ill.",6-Mar-57,Daily Defender (Daily Edition) (1956-1960),1957
A NEW TREND ON THE RIVIERA,"CANNES -- The French Riviera, a faithful barometer of international conditions during the past century, is once again witnessing a new trend in its tourist industry."," By DANIEL M. MADDEN
By DANIEL M. MADDEN"," New York, N.Y.",23-Mar-58,New York Times (1923-Current file),1958
Church's Educational Annex Opens Sunday,"The new $500,000 educational annex of the Mount Vernon Place Methodist Church, 900 Massachusetts ave. nw., will be open for use Sunday.",," Washington, D.C.",20-Sep-58,The Washington Post and Times Herald (1954-1959),1958
Bus Line to Add Hostesses,,," New York, N.Y.",24-Oct-58,New York Times (1923-Current file),1958
Week By Week,"""Did you see in the paper where is says that there are fifteen million cats born in the United States ever year, and about ten million dogs, and that the cat and dog population is getting too big for its own good?"""," Hughes, Langston
Langston
Langston Hughes
Hughes
LANGSTON HUGHES"," Chicago, Ill.",8-Nov-58,The Chicago Defender (National edition) (1921-1967),1958
Week By Week,"""Did you see in the paper where is says that there are fifteen million cats born in the United States ever year, and about ten million dogs, and that the cat and dog population is getting too big for its own good?"""," Hughes, Langston
Langston
Langston Hughes
Hughes
LANGSTON HUGHES"," Chicago, Ill.",8-Nov-58,Daily Defender (Daily Edition) (1956-1960),1958
Singer and Husband Remodel 2 Floors of Building Here,"BUYING a home without a kitchen ""was the best thing that ever happened to me,"" says Susan Karens. ""Rather than make do with an inherited kitchen, my husband and I designed one to suit my own needs."""," By RITA REIF
By RITA REIF"," New York, N.Y.",21-Feb-59,New York Times (1923-Current file),1959
THE TRIBUNE TRAVELERS' GUIDE,Visitors from the north who have grown weary of winter will find April and May the ideal time to revel in the sun and serenity of the beaches lining the keys of this resort city.," Taylor, Betty
Betty
Betty Taylor
Taylor
Betty Taylor"," Chicago, Ill.",5-Apr-59,Chicago Daily Tribune (1923-1963),1959
Slain Mystery Writer Leaves Real Puzzle,"NEW YORK, May 29--In death, murder mystery writer Richard Willis gave New York City police a more baffling murder case than any he had penned. Inspector Joseph Hauer declared today: ""We have drawn a complete blank.""",," Washington, D.C.",30-May-59,The Washington Post and Times Herald (1954-1959),1959
"a Tuppenny pie costs eight cents, not two","Around and around he goes, up the half-lighted spiral staircase--very slowly now, conserving his strength. On each landing lain Anderson pauses a moment, takes a deep breath, then starts up again. It's cold and dreary in this hall stairway and Iain, who is no longer young, wonders again...",," Los Angeles, Calif.",14-Jun-59,Los Angeles Times (1923-Current File),1959
"$92,500 IN CASH PAID FOR HOTEL IN ENGLEWOOD",,," Chicago, Ill.",18-Feb-40,Chicago Daily Tribune (1923-1963),1940
"Quantico, Norfolk To Get Steel Houses From Navy",,," Washington, D.C.",29-Dec-40,The Washington Post (1923-1954),1940
"PORTER KILLED, 6 OTHERS HURT IN CLUB BLAZE",,," Chicago, Ill.",12-Feb-41,Chicago Daily Tribune (1923-1963),1941
"INSPECTOR STAFF INADEQUATE, FIRE INQUESTS TOLD",,," Chicago, Ill.",15-Feb-41,Chicago Daily Tribune (1923-1963),1941
JURY ASKS PROBE OF BUILDING FIRE IN WHICH 2 DIED,,," Chicago, Ill.",1-Mar-41,Chicago Daily Tribune (1923-1963),1941
OFFICERS MOVE IN FORT HUACHUCA HOMES,"FT. HUACHUCA Ariz.-- Negro non-commissioned officers attached to the Twenty-fifth and 368th Infantry regiments here, are now occupying the newly completed defense housing at the army reservation, John M. Carmody, Federal Works...",," Chicago, Ill.",15-Mar-41,The Chicago Defender (National edition) (1921-1967),1941
"Housing Registry Shows Apartment, Small-House Lack",,," Washington, D.C.",23-Mar-41,The Washington Post (1923-1954),1941
ALDERMEN URGE DEPARTMENT OF HOUSING FOR CITY,,," Chicago, Ill.",15-Apr-41,Chicago Daily Tribune (1923-1963),1941
"Pretty, Practical Aprons",,," Chicago, Ill.",18-Aug-41,Chicago Daily Tribune (1923-1963),1941
Apron Frock and Coverall,,," Chicago, Ill.",12-Dec-41,Chicago Daily Tribune (1923-1963),1941
WOMAN'S FIRE LEAP PROVES NEAR FATAL,,," Chicago, Ill.",24-Jan-42,The Chicago Defender (National edition) (1921-1967),1942
LANDLORDS,," Davis, Tero
Tero
Tero Davis
Davis
Tero Davis"," Chicago, Ill.",7-Mar-42,The Chicago Defender (National edition) (1921-1967),1942
Simple and Pretty Aprons,,," Chicago, Ill.",20-Apr-42,Chicago Daily Tribune (1923-1963),1942
BOOKIE SQUAD RAIDS HOTEL IN LOOP: 3 SEIZED,,," Chicago, Ill.",24-Apr-42,Chicago Daily Tribune (1923-1963),1942
BILLIKENS RESCUED FROM BURNING BUILDING,,," Chicago, Ill.",30-Jan-43,The Chicago Defender (National edition) (1921-1967),1943
N. Chicago Fire Routs 6 Families,,," Chicago, Ill.",17-Apr-43,The Chicago Defender (National edition) (1921-1967),1943
SQUEALING KIDS.,," Allman, James P
James
James P Allman
Allman
P
JAMES P ALLMAN"," Chicago, Ill.",29-Aug-43,Chicago Daily Tribune (1923-1963),1943
